,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Label,Split
TCGA-MO-A47R-01A,-0.55966204,-0.032822106,0.0921837,-0.15141326,-0.25533497,0.19531901,-0.24749723,0.59723556,0.12449978,0.09340195,0.2987454,0.48047894,0.5306656,-0.21227618,-0.049468648,1,train
TCGA-IE-A4EK-01A,1.006298,0.010609648,0.38032493,-0.20918673,-0.5351338,0.13541552,0.17306569,0.06485596,0.13967718,0.293176,0.15841205,-0.46327278,0.0678672,-0.25368172,-0.4124556,1,train
TCGA-3B-A9I0-01A,0.38610473,-0.007722195,0.048937432,-0.4227221,-0.7470613,0.35065216,0.17864518,-0.26321876,-0.23206736,0.40909457,0.17383653,-0.28556043,-0.3309427,0.25847337,-0.13795854,1,train
TCGA-HB-A5W3-01A,-0.008541668,0.24002938,0.15107353,-0.40055445,-0.5217482,0.2421095,0.16251017,-0.027671445,0.83098525,0.52195746,0.0432564,-0.2371641,-0.15555267,0.06460869,-0.23675042,1,train
TCGA-DX-A2J4-01A,0.11844661,-0.09990207,-0.041951954,0.0030843192,0.24421023,-0.36130205,0.072322555,-0.19169393,-0.2834922,-0.3059951,-0.056684952,-0.54185355,0.284622,0.577319,0.15593027,0,train
TCGA-DX-AB2H-01A,-0.3577084,-0.16114362,-0.5296012,0.1541439,0.5015376,0.23045655,-0.116653375,-0.5361074,0.08373857,0.0956296,-0.14050125,0.8861627,0.58815753,-0.03420458,-0.38261813,0,train
TCGA-DX-AB37-01A,-0.24371885,-0.17055163,-0.02126529,0.11033299,-0.021133643,-0.26319084,-0.0425087,0.18524677,0.35288015,-0.5301662,-0.32631543,-0.2899591,-0.065370165,0.569188,0.10933887,0,train
TCGA-IE-A4EI-01A,-0.21478614,0.29689354,0.3201126,-0.43633875,-0.6110707,0.3143383,0.06820148,0.12006611,0.30588144,0.5153331,-0.065266505,0.0041517355,-0.43481058,-0.23679456,-0.37613997,1,train
TCGA-QQ-A5VD-01A,-0.017116616,0.06833641,-0.016482463,-0.18477051,-0.3459217,0.21720028,0.08077902,-0.36639234,-0.3220032,0.30863386,-0.028432665,-0.26485002,0.2558222,0.38200915,0.12383671,1,train
TCGA-MB-A8JL-01A,-0.9376207,0.19113056,0.036238573,-0.4265469,0.055548012,0.120281585,-0.075992934,-0.15161845,0.2750361,0.19318447,-0.08756266,0.3060976,0.3738046,0.25884068,0.24008766,1,train
TCGA-DX-A1KX-01A,-0.48310518,-0.10633246,0.18819985,0.26445547,0.14752239,-0.3708818,-0.15196376,1.1295935,-0.36878723,-0.7325399,0.07520777,-0.35316184,-0.017725995,0.19191562,-0.19128364,0,train
TCGA-DX-A23R-01A,-0.14892775,-0.185663,-0.08789886,0.7383414,-0.013165962,0.2947306,-0.11275669,-0.17701252,-0.08702259,-0.19263849,-0.14486751,0.5598283,0.70987034,0.22066838,-0.4153904,0,train
TCGA-IE-A6BZ-01A,-0.069782,-0.22060257,-0.18507358,0.36545715,-0.010109079,-0.034459006,0.24859929,0.22800651,-0.11590001,-1.0609393,-0.14476432,0.24644135,-0.30767283,-0.42510435,-0.034111317,2,train
TCGA-WK-A8Y0-01A,0.02033245,-0.107624434,0.15547572,0.43191966,0.37201643,-0.45207715,-0.2409852,0.9702511,0.14972284,0.0073086824,0.26686272,0.4239081,-0.6108006,0.14082584,0.37308857,2,train
TCGA-3B-A9HY-01A,0.19189924,0.0029148373,-0.0018139128,-0.16823848,-0.5951178,0.397728,0.108059116,-0.34097672,-0.33614412,0.6453498,0.043149818,-0.11378771,0.0901524,0.19328709,-0.03481547,1,train
TCGA-DX-A3U9-01A,1.0681056,-0.16041666,-0.4760521,0.14499459,-0.29829875,0.4636949,0.09178895,-0.46716315,0.27554598,0.3365129,-0.24938895,0.22321826,0.09531624,-0.2082742,-0.0019210769,1,train
TCGA-DX-A6B7-01A,0.64716035,0.19610046,0.05680712,-0.2545586,-0.70098186,0.2982957,0.19466558,-0.30520386,0.09223914,0.2042532,-0.013899733,-0.6614006,0.20236179,-0.22384827,-0.2763096,1,train
TCGA-WK-A8XX-01A,0.69601417,0.1463512,0.23371276,-0.36151606,0.30490994,-0.21211523,0.039728202,0.5856686,-0.33894032,0.5454628,0.65704256,0.27165046,-0.53866756,0.068513244,-0.38963884,1,train
TCGA-3B-A9I1-01A,-0.121498935,0.39463085,-0.02139906,-0.0017116381,0.66932356,-0.49065715,-0.0012675163,0.2805206,-0.005855322,0.47594225,0.3754081,-0.09847576,-0.27629265,-0.6235502,-0.42368725,1,train
TCGA-DX-A1L1-01A,-0.035668723,-0.020746967,-0.5604313,-0.70000845,0.5239384,-0.25643122,0.18275651,-0.2721957,0.09516014,-0.3119179,-0.115146294,0.044973258,-0.16984317,0.45294347,0.3039946,0,train
TCGA-DX-A1L2-01A,0.18506415,-0.15961361,0.14944342,0.08635387,0.07636581,-0.11641496,-0.080494665,0.23161684,-0.39437747,-0.8419174,-0.12218552,0.11338796,-0.0016322536,-0.14827499,-0.22966772,0,train
TCGA-DX-A6BG-01A,0.13709539,-0.091702804,-0.045560293,0.10657249,0.17320031,-0.29634842,-0.0040098396,-0.13701549,-0.12773766,-0.09664229,-0.05000843,-0.4421077,0.22519536,0.43845552,0.41756988,0,train
TCGA-SG-A6Z7-01A,-0.80451703,-0.03244474,-0.28156057,0.48503426,0.2560948,0.04146166,-0.2511127,0.676707,-0.50907826,0.46230197,-0.08581293,0.89082086,0.7382737,0.17417835,-0.38908428,0,train
TCGA-IS-A3K7-01A,-0.35525516,-0.04642285,-0.10918433,-0.06592045,-0.23671713,-0.26289067,-0.067410976,-0.72459114,1.078542,0.011177653,-0.6114542,-0.18414178,0.141233,-0.11606013,0.6615471,1,train
TCGA-DX-A6BA-01A,-0.19867404,-0.052128397,-0.30753532,-0.4179841,-0.5735941,0.123137064,-0.048748653,0.78635687,0.36383107,0.5882373,-0.35511503,0.1339344,-0.3130847,0.083100274,-0.45121124,1,train
TCGA-MB-A8JK-01A,0.36618844,-0.2808783,-0.078717664,0.2501956,0.02651488,-0.3941663,-0.32915765,0.512458,-0.6437955,-0.26892355,-0.20902543,-0.17964737,-0.074508734,0.21918663,0.006004423,2,train
TCGA-DX-A7EN-01A,0.91461056,0.08890591,0.083913326,0.3059652,-0.45238385,0.50700164,0.25744757,-0.08426238,0.6288234,0.34492263,0.051097855,0.2755423,-0.30671698,-0.29775804,-0.54115695,1,train
TCGA-VT-A80G-01A,0.24244149,-0.08177857,0.6407238,0.20745994,0.28338197,0.11189242,-0.2437476,-0.052316625,-0.18392141,-0.19809446,0.08843681,0.6404517,-0.10495891,-0.28881574,0.6512187,2,train
TCGA-DX-A6BE-01A,0.05260973,-0.1006164,-0.015317945,-0.20309223,0.23949167,-0.34082752,0.09139304,-0.1385159,-0.22486703,-0.2981877,-0.03215292,-0.43020347,0.26220596,0.55180156,0.15521921,0,train
TCGA-DX-A3LT-01A,0.254088,-0.41022635,0.2496626,0.0485081,-0.10705533,0.03926969,-0.118039675,-0.36591655,-0.062078714,-0.41137627,-0.199674,0.0382188,0.08098663,0.13916114,0.57696676,0,train
TCGA-DX-A8BM-01A,0.1365271,-0.013275544,-0.05611949,0.47942418,-0.09855258,0.0869027,-0.11178928,-0.033048093,-0.98138136,-0.67973465,-0.14456336,-0.014696283,0.28766027,-0.08582941,-0.10570613,2,train
TCGA-3B-A9HQ-01A,0.0048784316,0.05230803,0.073631406,-0.046479225,-0.5494042,0.18670593,0.17995742,-0.18942647,0.23258235,0.52837163,0.13249531,-0.30556872,-0.46444526,0.6214228,-0.36895457,1,train
TCGA-3B-A9I3-01A,1.3934382,-0.7494941,-1.8510139,-0.64481515,-0.07834295,0.54862094,0.4583198,-1.8768271,2.483318,0.21564282,1.7296205,-0.34737077,1.464892,0.539913,0.30150884,1,train
TCGA-DX-A3UC-01A,0.57467335,-0.09249108,0.12917462,-0.026060415,-0.48777115,0.23502278,0.11177789,0.16973324,0.7805097,0.5925085,0.12204076,-0.02294324,-0.24941751,0.08184291,-0.47836298,1,train
TCGA-DX-A3U8-01A,0.12945312,-0.22140314,0.008606413,-0.23816122,0.2867062,-0.36223003,-0.075667,0.15350467,0.13626778,0.04233781,0.048959695,-0.105047755,-0.023965575,0.22299722,0.57320386,1,train
TCGA-HS-A5N7-01A,-0.14689474,-0.029810732,0.14568827,-0.052001603,-0.5385245,0.36607394,0.078339614,-0.27008802,0.21861957,0.5201087,0.71804625,0.0883785,-0.24485128,0.41396266,-0.31875923,1,train
TCGA-DX-A3LS-01A,-0.38084275,-0.2868613,-0.45438853,-0.1195999,0.2729759,-0.301032,-0.09917144,-0.22945327,0.435342,-0.19521745,-0.3100251,-0.07761483,-0.12110867,0.24605867,0.039272502,0,train
TCGA-IW-A3M4-01A,-0.1565544,0.16835675,0.043336704,0.056232873,0.36557806,-0.40415624,0.0046560783,-0.024366468,0.68343914,0.46860516,-0.1710367,-0.5750708,0.47559378,-0.434188,-0.23305307,1,train
TCGA-QQ-A5VA-01A,-0.3019959,0.01320348,0.2535778,-0.06356472,0.3997005,-0.38182014,0.011249065,0.5296342,0.47076598,0.2653247,-0.5854268,0.1366714,-0.06979475,0.84939796,0.09447044,0,train
TCGA-DX-A8BX-01A,0.12459257,-0.08055773,-0.088714525,-0.2231249,-0.09017683,0.08371171,-0.06743802,-0.02107103,-0.20490788,-0.7688119,-0.36288208,0.17918882,0.2990178,-0.20399192,0.11714456,2,train
TCGA-X6-A7WC-01A,-0.2312557,-0.3479663,0.02792462,0.2721165,-0.18125993,0.020630326,0.10505692,0.40804517,-0.7238781,-0.13161229,0.06490182,0.385908,-0.2047875,-0.09348518,0.6900985,1,train
TCGA-HB-A43Z-01A,-0.31195766,-0.27588478,0.48973706,-0.30786732,-0.1552347,0.13934936,-0.12280887,0.16235602,0.10967256,0.76113415,-0.33722246,0.2874188,0.22467144,-0.29292995,-0.35804227,1,train
TCGA-HB-A2OT-01A,-0.2919924,0.25095904,0.46638334,0.58174086,0.033530656,0.06498393,-0.06553947,-0.66965336,0.001738477,-0.3133986,-0.1334784,-0.1168613,-0.29057536,0.0037413696,0.4827312,2,train
TCGA-JV-A5VE-01A,-0.31297997,0.16336967,0.2966661,0.06599002,0.30786783,-0.11250497,0.17737013,-0.73728395,0.2565355,0.35521996,0.25663537,-0.36843637,-0.14028108,-0.19852953,-0.07154685,1,train
TCGA-DX-A23U-01A,0.20411947,-0.015012006,-0.30899164,0.30335492,0.09007156,-0.12239493,0.18709452,0.19728725,-0.20496605,-0.44002265,0.17918216,-0.23567401,0.20242858,-0.19975816,0.49669096,0,train
TCGA-DX-A2J1-01A,0.107184835,-0.07762855,-0.023615802,-0.081121,0.18687204,-0.36541095,0.023283383,-0.1438286,-0.17486617,-0.52721506,-0.023188667,-0.54480505,0.1274546,0.3276112,0.3305341,0,train
TCGA-DX-A3UD-01A,0.6387783,0.023369156,0.22779143,-0.13810201,0.07619712,0.029629998,0.33883548,0.47404274,-0.69831777,0.44949144,0.7263581,0.26662025,-0.77478564,-0.25494128,-0.3411863,1,train
TCGA-DX-A3UF-01A,-0.0980208,0.4578815,0.1736198,-0.62155324,-0.14829642,0.3263113,0.22577712,-0.15268815,0.88330853,0.5050254,0.010746851,0.18260102,-0.16458873,0.07213986,-0.24924217,1,train
TCGA-K1-A42X-01A,-0.2077254,0.15282804,0.11565101,0.11629807,0.5400769,-0.589562,0.035637368,-0.18375972,0.6385479,0.7400202,0.41681382,-0.8030793,0.6601038,-0.56802785,-0.29236162,1,train
