,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Label,Split
TCGA-DX-A1L2-01A,0.1957862377166748,-0.41971924901008606,-0.5632838606834412,0.3413255512714386,0.3129443824291229,-0.4089816212654114,-0.03612782806158066,0.13433921337127686,-0.5726181268692017,0.03644751384854317,0.08590809255838394,0.08917674422264099,0.12524408102035522,-0.15282852947711945,0.09192601591348648,0,train
TCGA-VT-A80G-01A,0.34110021591186523,-0.5084550380706787,0.07932545989751816,-0.10249055176973343,0.1762651652097702,-0.0654902458190918,-0.4868254065513611,-0.026666603982448578,-0.5816148519515991,0.18228745460510254,0.3166203796863556,-0.3161008954048157,-0.355825811624527,0.9297475814819336,0.3873719573020935,2,train
TCGA-3B-A9HP-01A,0.030527208000421524,0.36218661069869995,0.4390237033367157,-0.001596037414856255,-0.21170461177825928,0.13230663537979126,0.4871070086956024,-0.2244134098291397,0.4939114451408386,-0.2712036669254303,-0.21216128766536713,0.05067170038819313,0.31105756759643555,-0.43799999356269836,-0.2982181906700134,1,train
TCGA-DX-A48U-01A,-0.4688553810119629,0.04773440957069397,0.19889412820339203,0.1573619693517685,-0.33826979994773865,-0.6321253180503845,-0.6293023824691772,-0.27681025862693787,0.572538435459137,0.06856543570756912,-0.45911741256713867,-0.35962551832199097,0.19105780124664307,-0.24924184381961823,-0.6080257892608643,1,train
TCGA-MJ-A68H-01A,0.4250229001045227,-0.0321708619594574,-0.5641058683395386,-0.3955143988132477,-0.3083336353302002,0.29458990693092346,0.34535089135169983,0.30949872732162476,0.28637048602104187,0.2844632565975189,-0.016195569187402725,0.42357078194618225,0.006011393386870623,-0.44395360350608826,-0.4801260828971863,1,train
TCGA-3B-A9HX-01A,-0.03081453964114189,-0.20124304294586182,-0.1215226948261261,0.3066256046295166,-0.37678244709968567,0.5511718988418579,0.054934900254011154,0.37084639072418213,0.27207693457603455,-0.07569579035043716,0.42850714921951294,-0.21956118941307068,-0.05770811066031456,0.6462287306785583,0.094111867249012,1,train
TCGA-K1-A3PN-01A,-0.025609496980905533,0.36829304695129395,0.21628236770629883,-0.49886032938957214,-0.5673325657844543,0.07903935015201569,-0.2879318296909332,-0.00648801214993,0.6229420304298401,-0.1390770524740219,-0.19215284287929535,-0.48646536469459534,0.36585482954978943,0.5985530018806458,-0.4789019227027893,1,train
TCGA-QC-AA9N-01A,-0.43306809663772583,1.0184296369552612,0.0848086029291153,-0.0915549248456955,-0.12058016657829285,0.17843659222126007,1.7449462413787842,-1.8718596696853638,-0.2984718382358551,1.0896964073181152,-0.0978492870926857,0.802562415599823,0.28253287076950073,0.22268931567668915,0.03542783856391907,2,train
TCGA-WP-A9GB-01A,0.5767093896865845,-0.40696585178375244,-0.6521257162094116,0.3028710186481476,-0.5526296496391296,0.9954095482826233,-0.18160885572433472,0.10230588912963867,0.04983111843466759,0.22228674590587616,0.2545204758644104,0.12414316087961197,-0.5855741500854492,-0.6068791747093201,-0.8677553534507751,1,train
TCGA-IS-A3KA-01A,0.09199529886245728,-0.37577012181282043,-0.25670504570007324,-0.13493536412715912,-0.4457707107067108,0.45546290278434753,-0.46226367354393005,0.42725130915641785,-0.5638821125030518,-0.19346201419830322,0.017602022737264633,0.4389806389808655,-0.061786774545907974,-0.27937832474708557,0.15262198448181152,1,train
TCGA-DX-AB3A-01A,-0.158716082572937,0.44771644473075867,0.13380634784698486,0.1207030862569809,0.6999115943908691,-0.6166385412216187,-0.49714595079421997,-0.19896309077739716,-0.1813683956861496,-0.2342512160539627,0.1710762083530426,0.38480380177497864,0.09361160546541214,0.11377816647291183,-0.16665992140769958,0,train
TCGA-DX-A6BF-01A,0.18424928188323975,-0.351453959941864,-0.46406450867652893,-0.07051103562116623,0.2916867136955261,0.0028994656167924404,0.016872329637408257,0.40130314230918884,-0.6220252513885498,-0.2855542004108429,-0.12214069068431854,0.3794153928756714,0.45207449793815613,0.1421816051006317,0.2608605921268463,0,train
TCGA-DX-A6BG-01A,-0.27078977227211,0.1164131909608841,0.0904284194111824,0.40627601742744446,0.1319730132818222,-0.10613492131233215,0.05336567014455795,0.27185937762260437,0.07445062696933746,-0.0012887527700513601,-0.10439913719892502,0.15743476152420044,-0.21811385452747345,0.003674696898087859,0.38986653089523315,0,train
TCGA-DX-AB2F-01A,-0.17413532733917236,-0.08822330832481384,-0.7592318058013916,0.04794472083449364,0.3402615487575531,-0.17380841076374054,0.20006902515888214,0.27581608295440674,-0.7232672572135925,-0.28112637996673584,-0.05714535713195801,0.49029457569122314,0.5199279189109802,-0.012899449095129967,-0.20500612258911133,0,train
TCGA-DX-A1L4-01A,-0.42137953639030457,-0.016699830070137978,0.08784691244363785,0.4448956847190857,0.3264668583869934,-0.24119120836257935,0.064053013920784,0.16994228959083557,-0.06610987335443497,-0.023312782868742943,-0.31344014406204224,0.20568203926086426,-0.11265198141336441,0.014818945899605751,0.4083593487739563,0,train
TCGA-K1-A3PO-01A,-0.21577487885951996,0.3182973861694336,0.1360655128955841,0.5488063097000122,0.14203707873821259,-0.23353537917137146,0.14650122821331024,0.4149334132671356,0.17124611139297485,0.025237172842025757,0.03627575933933258,0.15999984741210938,-0.16313736140727997,-0.043009400367736816,-0.002717731986194849,1,train
TCGA-DX-A1KX-01A,0.31402990221977234,-0.5473470091819763,-0.6123100519180298,0.5055413842201233,0.6624217629432678,0.016255050897598267,0.2882891893386841,0.5200088620185852,0.1799725443124771,-0.07309108972549438,0.0027010180056095123,0.35294559597969055,0.304735004901886,-0.012928801588714123,0.15985748171806335,0,train
TCGA-IW-A3M6-01A,0.026584945619106293,-0.23891222476959229,0.7515560984611511,-0.12620115280151367,0.1962897628545761,0.5357093811035156,0.0010340837761759758,0.5056699514389038,0.037578992545604706,0.45064401626586914,0.01784771867096424,-0.30233603715896606,-0.19188706576824188,-0.47771739959716797,-0.09191673249006271,1,train
TCGA-HS-A5N8-01A,-0.4154343605041504,0.0072373454459011555,-0.42950454354286194,0.019219744950532913,0.20866134762763977,0.4487359821796417,0.23618245124816895,0.008447433821856976,0.14780443906784058,-0.10991273820400238,0.6322217583656311,0.29068201780319214,-0.026783732697367668,0.5030556917190552,-0.048248857259750366,1,train
